0,Aquatics,0,SWA,Artistic Swimming,,
0,Aquatics,1,DIV,Diving,,
0,Aquatics,2,OWS,Marathon Swimming,,
0,Aquatics,3,SWM,Swimming,,Artistic
0,Aquatics,3,SWM,Swimming,,Marathon
0,Aquatics,4,WPO,Water Polo,,
1,Archery,5,ARC,Archery,,
2,Athletics,6,ATH,Athletics,,
3,Badminton,7,BDM,Badminton,,
4,Baseball�and Softball,8,BSB,Baseball,,
4,Baseball�and Softball,9,SBL,Softball,,
5,Basketball,10,BK3,3x3 Basketball,,
5,Basketball,11,BKB,Basketball,,
6,Basque Pelota,12,PEL,Basque Pelota,,
7,Boxing,13,BOX,Boxing,,
8,Breaking,14,BKG,Breaking,,
9,Canoeing,15,CSP,Canoe Sprint,,
9,Canoeing,16,CSL,Canoe Slalom,,
10,Cricket,17,CKT,Cricket,,
11,Croquet,18,CQT,Croquet,,
12,Cycling,19,BMF,Cycling BMX Freestyle,,
12,Cycling,20,BMX,Cycling BMX Racing,,
12,Cycling,21,MTB,Cycling Mountain Bike,,
12,Cycling,22,CRD,Cycling Road,,
12,Cycling,23,CTR,Cycling Track,,
13,Equestrian,24,EDR,Equestrianism,Dressage,
13,Equestrian,25,EVE,Equestrianism,Eventing,
13,Equestrian,26,EJP,Equestrianism,Jump,
13,Equestrian,27,EVL,Equestrianism,Vaulting,
13,Equestrian,28,EDV,Equestrianism,Hacks And Hunter,
13,Equestrian,28,EDV,Equestrianism,Four-In-Hand,
14,Fencing,29,FEN,Fencing,,
15,Field hockey,30,HOC,Hockey,,Ice
16,Flag football,31,AFB,Flag Football,,
17,Football,32,FBL,Football,,
18,Golf,33,GLF,Golf,,
19,Gymnastics,34,GAR,Artistic Gymnastics,,
19,Gymnastics,35,GRY,Rhythmic Gymnastics,,
19,Gymnastics,36,GTR,Trampoline Gymnastics,,
20,Handball,37,HBL,Handball,,
21,Jeu de Paume,38,JDP,Jeu De Paume,,
22,Judo,39,JUD,Judo,,
23,Karate,40,KTE,Karate,,
24,Lacrosse,41,LAX,Lacrosse,,
25,Modern Pentathlon,42,MPN,Modern Pentathlon,,
26,Polo,43,POL,Polo,,Water
27,Racquets,44,RQT,Racquets,,
28,Roque,45,RQE,Roque,,
29,Rowing,46,ROC,Costal Rowing,,
29,Rowing,47,ROW,Rowing,,
30,Rugby,48,RU7,Rugby Sevens,,
30,Rugby,49,RUG,Rubgy,,Sevens
31,Sailing,50,SAL,Sailing,,
32,Shooting,51,SHO,Shooting,,
33,Skateboarding,52,SKB,Skateboarding,,
34,Sport Climbing,53,CLB,Sport Climbing,,
35,Squash,54,SQU,Squash,,
36,Surfing,55,SRF,Surfing,,
37,Table Tennis,56,TTE,Table Tennis,,
38,Taekwondo,57,TKW,Taekwondo,,
39,Tennis,58,TEN,Tennis,,Table
40,Triathlon,59,TRI,Triathlon,,
41,Tug of War,60,TOW,Tug-Of-War,,
42,Volleyball,61,VBV,Beach Volleyball,,
42,Volleyball,62,VVO,Volleyball,,Beach
43,Water Motorsports,63,PBT,Motorboating,,
44,Weightlifting,64,WLF,Weightlifting,,
45,Wrestling,65,WRF,Wrestling,Freestyle,
45,Wrestling,66,WRG,Wrestling,Greco-Roman,
46,Skating,67,FSK,Figure Skating,,
47,Ice Hockey,68,IHO,Ice Hockey,,
